k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
1,1.316855,-0.3819523,0.4175275,0.8244897,-9.814252,9.927711,20.66197
1,1.319379,-0.3819472,0.4175673,0.8244718,-9.814317,9.927649,20.66194
1,1.32323,-0.3818761,0.4176047,0.8244859,-9.81431,9.927734,20.66199
1,1.322194,-0.3819863,0.417641,0.8244164,-9.814437,9.927728,20.66175
1,1.320714,-0.3820463,0.4176356,0.8243914,-9.814435,9.927712,20.66189
1,1.320862,-0.3820452,0.4176382,0.8243905,-9.814517,9.927701,20.66172
1,1.306262,-0.3822433,0.4174511,0.8243935,-9.814533,9.927681,20.66184
1,1.297695,-0.3823958,0.4173589,0.8243695,-9.814665,9.927702,20.66139
1,1.292861,-0.382453,0.4172929,0.8243763,-9.814703,9.927716,20.66151
1,1.271648,-0.3826676,0.4169919,0.824429,-9.814719,9.927734,20.66162
1,1.263311,-0.3827955,0.4168969,0.8244178,-9.814752,9.927659,20.66159
1,1.248038,-0.3830836,0.4167289,0.8243688,-9.814776,9.927536,20.66141
1,1.238595,-0.3831998,0.4166043,0.8243778,-9.814776,9.927546,20.66141
1,1.234797,-0.3833715,0.416606,0.8242972,-9.814573,9.927572,20.66186
1,1.243797,-0.3834233,0.416786,0.824182,-9.814339,9.927553,20.66229
1,1.251014,-0.3834221,0.4169222,0.8241137,-9.814257,9.927596,20.66187
1,1.272724,-0.3832239,0.417247,0.8240415,-9.814155,9.927653,20.6618
1,1.289071,-0.3829908,0.417457,0.8240436,-9.814068,9.927648,20.66158
1,1.301309,-0.3827459,0.4175852,0.8240924,-9.813989,9.92768,20.66155
1,1.315517,-0.3823758,0.4176924,0.8242099,-9.813794,9.927623,20.66211
1,1.32323,-0.3821476,0.4177335,0.8242949,-9.813821,9.927634,20.66211
1,1.342172,-0.3817568,0.4179131,0.8243849,-9.813792,9.927674,20.66223
1,1.352339,-0.3816009,0.4180376,0.8243939,-9.813757,9.927855,20.66273
1,1.364727,-0.381472,0.4182095,0.8243663,-9.813721,9.927917,20.66278
1,1.404721,-0.3807591,0.4186309,0.8244821,-9.813751,9.927887,20.66282
1,1.416651,-0.3806366,0.4187939,0.8244559,-9.81419,9.92787,20.6617
1,1.425189,-0.3804603,0.4188856,0.8244906,-9.814475,9.928157,20.66047
1,1.438855,-0.3801486,0.4189901,0.8245813,-9.814479,9.928184,20.66036
2,4.561324,0.01718691,0.5032737,0.8639561,0.1812423,9.933887,20.64927
2,4.563857,0.0167771,0.503369,0.8639086,0.1805932,9.933609,20.64772
2,4.591371,0.01642371,0.5038199,0.8636526,0.1807213,9.933902,20.64853
2,4.600151,0.01654662,0.5039439,0.863578,0.1806053,9.934002,20.64857
2,4.605301,0.01634449,0.5040717,0.8635072,0.1799065,9.933891,20.64633
2,4.623851,0.01638349,0.5043594,0.8633384,0.1796355,9.933767,20.64534
2,4.634472,0.01647867,0.5045097,0.8632488,0.1795044,9.933702,20.64528
2,4.689181,0.01663112,0.5053277,0.8627673,0.179327,9.933621,20.64476
2,4.712059,0.01708726,0.5056304,0.862581,0.1792228,9.933671,20.64467
2,4.753656,0.01719856,0.5062333,0.8622251,0.1794992,9.933792,20.64593
2,4.7784,0.01771954,0.5065477,0.8620299,0.1795003,9.933788,20.64614
2,4.73131,0.01823589,0.5057744,0.862473,0.179411,9.933784,20.6461
2,4.638443,0.01899895,0.5042679,0.8633382,0.1793181,9.933791,20.64611
2,4.635359,0.01956283,0.5041306,0.8634058,0.1795283,9.9339,20.64737
2,4.607937,0.01972141,0.5036921,0.8636581,0.1794353,9.933906,20.64734
2,4.616728,0.01960407,0.503839,0.8635751,0.1795488,9.933837,20.64742
2,4.621944,0.01945882,0.5039366,0.8635214,0.1795405,9.933789,20.64737
2,4.647388,0.0196098,0.5043031,0.863304,0.1795202,9.933753,20.64734
2,4.662957,0.01951068,0.5045502,0.8631619,0.1795601,9.933729,20.6475
2,4.681153,0.01903102,0.5048804,0.8629795,0.1797014,9.93362,20.64794
2,4.709856,0.02012622,0.5051723,0.8627838,0.1795874,9.933418,20.64728
2,4.647092,0.0203576,0.5041757,0.8633612,0.1796108,9.933329,20.64761
2,4.635274,0.02038933,0.5039834,0.8634726,0.179664,9.933304,20.64798
2,4.672525,0.01999988,0.5046031,0.8631197,0.1798207,9.933381,20.64845
2,4.972718,0.01223725,0.5098685,0.8601653,0.1797642,9.933247,20.64808
2,5.057491,0.01023301,0.5112131,0.8593931,0.1797867,9.933179,20.6483
2,5.059505,0.01074621,0.5112062,0.859391,0.1801209,9.933039,20.64936
2,5.127131,0.008243226,0.512265,0.8587878,0.1801969,9.933025,20.64967
2,5.102769,0.007664331,0.5118912,0.8590161,0.1803261,9.933027,20.65037
2,5.084729,0.006837805,0.5116009,0.859196,0.18062,9.933007,20.65146
2,5.054662,0.006922431,0.5111341,0.8594731,0.1809239,9.932979,20.65239
2,5.004568,0.00722988,0.5103798,0.8599187,0.1809793,9.933,20.65266
2,4.991515,0.007251372,0.5101696,0.8600432,0.18121,9.932963,20.65343
2,4.90049,0.008475899,0.5087858,0.8608515,0.1813525,9.93292,20.65417
2,4.838776,0.007583124,0.5078518,0.8614111,0.1815178,9.932899,20.65478
2,4.802405,0.00738328,0.507283,0.8617479,0.1817048,9.932816,20.65596
2,4.783645,0.006617643,0.506983,0.8619307,0.1817774,9.932711,20.6565
2,4.669464,0.004450689,0.5051956,0.8629934,0.1819753,9.932794,20.65779
2,4.70028,0.003872778,0.5056177,0.862749,0.1822509,9.932867,20.65925
2,4.72269,0.003128416,0.5059143,0.862578,0.1824172,9.932956,20.65986
2,4.673699,0.001546894,0.5050699,0.8630771,0.1826576,9.933012,20.66068
2,4.698279,0.0008694293,0.5054021,0.8628835,0.1827286,9.933071,20.66024
2,4.710979,0.000811253,0.5055832,0.8627775,0.1829921,9.933092,20.66069
2,4.666988,0.0009638594,0.5049191,0.8631661,0.1829808,9.932801,20.66072
