StartTime,NowTime,PathTime
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.0525022
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.0883845
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.1458784
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.1623761
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.1853494
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.2508306
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.2856634
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.3092344
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.3341506
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.3660630
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.3830568
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.3959705
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.4219545
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.4508314
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.4747623
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.4887770
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.5066624
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.5197264
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.5436132
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.5635111
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.5814836
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.6070464
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.6205685
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.6507196
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.6666794
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.6866164
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.7284910
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.8118649
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.8697223
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.8876795
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.9255186
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:06.9494554
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:06.9694015
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:06.9903832
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.0572207
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.0761541
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.0911042
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.1110274
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.1380470
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.1708879
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.2218071
9/18/2018 5:33:56 PM,9/18/2018 5:33:56 PM,00:00:07.3254976
