StartTime,NowTime,PathTime
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.5
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.5
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.6
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.6
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.6
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.6
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.7
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.7
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.7
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.7
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.8
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.8
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.8
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.9
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.9
9/18/2018 5:31:48 PM,9/18/2018 5:31:48 PM,00:07.9
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:07.9
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.0
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.0
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.0
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.0
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.1
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.1
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.1
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.2
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.2
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.2
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.2
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.2
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.3
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.3
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.3
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.3
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.4
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.4
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.4
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.4
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.4
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.5
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.5
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.5
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.5
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.5
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.6
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.6
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.6
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.7
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.7
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.8
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.8
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.8
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.8
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.8
9/18/2018 5:31:49 PM,9/18/2018 5:31:49 PM,00:08.9
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:08.9
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.0
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.0
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.0
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.1
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.2
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.3
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.4
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.5
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.5
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.5
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.5
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.6
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.6
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.6
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.7
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.7
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.8
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.8
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.8
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.8
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.9
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.9
9/18/2018 5:31:50 PM,9/18/2018 5:31:50 PM,00:09.9
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.0
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.0
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.0
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.1
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.1
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.1
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.2
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.2
9/18/2018 5:31:51 PM,9/18/2018 5:31:51 PM,00:10.2
